Partition,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"1 1 1",1,N,Losing,P,3,3,1,"[R2C0]"
"2 1 1",3,N,Winning,N,3,4,1,"[R0C1,R2C0]"
"2 2 1",1,N,Winning,N,5,5,1,"[R2C0]"
"2 2 2",0,P,Losing,P,6,6,0,"N/A (P-position)"
"3 1 1",0,P,Losing,P,4,5,0,"N/A (P-position)"
"3 2 1",4,N,Winning,N,5,6,2,"[R1C1] / [R0C2,R2C0]"
"3 2 2",2,N,Winning,N,7,7,1,"[R0C2]"
"3 3 1",2,N,Winning,N,7,7,1,"[R2C0]"
"3 3 2",0,P,Losing,P,8,8,0,"N/A (P-position)"
"3 3 3",1,N,Winning,N,9,9,1,"[R2C2]"
"4 1 1",1,N,Winning,N,5,6,1,"[R0C3]"
"4 2 1",5,N,Winning,N,5,7,2,"[R0C3,R1C1] / [R2C0]"
"4 2 2",0,P,Losing,P,8,8,0,"N/A (P-position)"
"4 3 1",3,N,Winning,N,7,8,2,"[R0C3,R2C0] / [R1C2,R2C0]"
"4 3 2",1,N,Winning,N,9,9,2,"[R0C3] / [R1C2]"
"4 3 3",2,N,Winning,N,9,10,1,"[R0C3,R2C2]"
"4 4 1",1,N,Winning,N,9,9,1,"[R2C0]"
"4 4 2",0,P,Losing,P,10,10,0,"N/A (P-position)"
"4 4 3",3,N,Winning,N,11,11,1,"[R2C2]"
"4 4 4",0,P,Losing,P,12,12,0,"N/A (P-position)"
"5 1 1",0,P,Losing,P,6,7,0,"N/A (P-position)"
"5 2 1",4,N,Winning,N,7,8,2,"[R1C1] / [R0C4,R2C0]"
"5 2 2",1,N,Winning,N,9,9,1,"[R0C4]"
"5 3 1",6,N,Winning,N,7,9,1,"[R0C4,R1C2,R2C0]"
"5 3 2",2,N,Winning,N,9,10,1,"[R0C4,R1C2]"
"5 3 3",0,P,Losing,P,10,11,0,"N/A (P-position)"
"5 4 1",4,N,Winning,N,9,10,1,"[R0C4,R2C0]"
"5 4 2",5,N,Winning,N,11,11,1,"[R0C4]"
"5 4 3",4,N,Winning,N,11,12,2,"[R1C3] / [R0C4,R2C2]"
"5 4 4",1,N,Winning,N,13,13,1,"[R0C4]"
"5 5 1",2,N,Winning,N,11,11,1,"[R2C0]"
"5 5 2",0,P,Losing,P,12,12,0,"N/A (P-position)"
"5 5 3",1,N,Winning,N,13,13,1,"[R2C2]"
"5 5 4",0,P,Losing,P,14,14,0,"N/A (P-position)"
"5 5 5",1,N,Winning,N,15,15,1,"[R2C4]"
"6 1 1",1,N,Winning,N,7,8,1,"[R0C5]"
"6 2 1",5,N,Winning,N,7,9,2,"[R0C5,R1C1] / [R2C0]"
"6 2 2",0,P,Losing,P,10,10,0,"N/A (P-position)"
"6 3 1",7,N,Winning,N,9,10,1,"[R1C2,R2C0]"
"6 3 2",3,N,Winning,N,11,11,1,"[R1C2]"
"6 3 3",1,N,Winning,N,11,12,1,"[R0C5]"
"6 4 1",5,N,Winning,N,11,11,1,"[R2C0]"
"6 4 2",0,P,Losing,P,12,12,0,"N/A (P-position)"
"6 4 3",6,N,Winning,N,11,13,2,"[R0C5,R1C3] / [R2C2]"
"6 4 4",0,P,Losing,P,14,14,0,"N/A (P-position)"
"6 5 1",3,N,Winning,N,11,12,2,"[R0C5,R2C0] / [R1C4,R2C0]"
"6 5 2",1,N,Winning,N,13,13,2,"[R0C5] / [R1C4]"
"6 5 3",2,N,Winning,N,13,14,2,"[R0C5,R2C2] / [R1C4,R2C2]"
"6 5 4",3,N,Winning,N,15,15,2,"[R0C5] / [R1C4]"
"6 5 5",2,N,Winning,N,15,16,1,"[R0C5,R2C4]"
"6 6 1",1,N,Winning,N,13,13,1,"[R2C0]"
"6 6 2",0,P,Losing,P,14,14,0,"N/A (P-position)"
"6 6 3",3,N,Winning,N,15,15,1,"[R2C2]"
"6 6 4",0,P,Losing,P,16,16,0,"N/A (P-position)"
"6 6 5",1,N,Winning,N,17,17,1,"[R2C4]"
"6 6 6",0,P,Losing,P,18,18,0,"N/A (P-position)"
"7 1 1",0,P,Losing,P,8,9,0,"N/A (P-position)"
"7 2 1",4,N,Winning,N,9,10,2,"[R1C1] / [R0C6,R2C0]"
"7 2 2",1,N,Winning,N,11,11,1,"[R0C6]"
"7 3 1",6,N,Winning,N,9,11,1,"[R0C6,R1C2,R2C0]"
"7 3 2",2,N,Winning,N,11,12,1,"[R0C6,R1C2]"
"7 3 3",0,P,Losing,P,12,13,0,"N/A (P-position)"
"7 4 1",4,N,Winning,N,11,12,1,"[R0C6,R2C0]"
"7 4 2",1,N,Winning,N,13,13,1,"[R0C6]"
"7 4 3",4,N,Winning,N,13,14,2,"[R1C3] / [R0C6,R2C2]"
"7 4 4",1,N,Winning,N,15,15,1,"[R0C6]"
"7 5 1",6,N,Winning,N,11,13,1,"[R0C6,R1C4,R2C0]"
"7 5 2",2,N,Winning,N,13,14,1,"[R0C6,R1C4]"
"7 5 3",3,N,Winning,N,13,15,1,"[R0C6,R1C4,R2C2]"
"7 5 4",5,N,Winning,N,15,16,1,"[R0C6,R1C4]"
"7 5 5",0,P,Losing,P,16,17,0,"N/A (P-position)"
"7 6 1",4,N,Winning,N,13,14,1,"[R0C6,R2C0]"
"7 6 2",5,N,Winning,N,15,15,1,"[R0C6]"
"7 6 3",4,N,Winning,N,15,16,1,"[R0C6,R2C2]"
"7 6 4",1,N,Winning,N,17,17,1,"[R0C6]"
"7 6 5",4,N,Winning,N,17,18,2,"[R1C5] / [R0C6,R2C4]"
"7 6 6",2,N,Winning,N,19,19,1,"[R0C6]"
"7 7 1",2,N,Winning,N,15,15,1,"[R2C0]"
"7 7 2",0,P,Losing,P,16,16,0,"N/A (P-position)"
"7 7 3",1,N,Winning,N,17,17,1,"[R2C2]"
"7 7 4",0,P,Losing,P,18,18,0,"N/A (P-position)"
"7 7 5",2,N,Winning,N,19,19,1,"[R2C4]"
"7 7 6",0,P,Losing,P,20,20,0,"N/A (P-position)"
"7 7 7",1,N,Winning,N,21,21,1,"[R2C6]"
"8 1 1",1,N,Winning,N,9,10,1,"[R0C7]"
"8 2 1",5,N,Winning,N,9,11,2,"[R0C7,R1C1] / [R2C0]"
"8 2 2",0,P,Losing,P,12,12,0,"N/A (P-position)"
"8 3 1",7,N,Winning,N,11,12,1,"[R1C2,R2C0]"
"8 3 2",3,N,Winning,N,13,13,1,"[R1C2]"
"8 3 3",1,N,Winning,N,13,14,1,"[R0C7]"
"8 4 1",5,N,Winning,N,13,13,1,"[R2C0]"
"8 4 2",0,P,Losing,P,14,14,0,"N/A (P-position)"
"8 4 3",5,N,Winning,N,13,15,2,"[R0C7,R1C3] / [R2C2]"
"8 4 4",0,P,Losing,P,16,16,0,"N/A (P-position)"
"8 5 1",7,N,Winning,N,13,14,1,"[R1C4,R2C0]"
"8 5 2",3,N,Winning,N,15,15,1,"[R1C4]"
"8 5 3",6,N,Winning,N,15,16,1,"[R1C4,R2C2]"
"8 5 4",2,N,Winning,N,17,17,1,"[R1C4]"
"8 5 5",1,N,Winning,N,17,18,1,"[R0C7]"
"8 6 1",5,N,Winning,N,15,15,1,"[R2C0]"
"8 6 2",0,P,Losing,P,16,16,0,"N/A (P-position)"
"8 6 3",1,N,Winning,N,17,17,1,"[R2C2]"
"8 6 4",0,P,Losing,P,18,18,0,"N/A (P-position)"
"8 6 5",3,N,Winning,N,17,19,2,"[R0C7,R1C5] / [R2C4]"
"8 6 6",0,P,Losing,P,20,20,0,"N/A (P-position)"
"8 7 1",3,N,Winning,N,15,16,2,"[R0C7,R2C0] / [R1C6,R2C0]"
"8 7 2",1,N,Winning,N,17,17,2,"[R0C7] / [R1C6]"
"8 7 3",2,N,Winning,N,17,18,2,"[R0C7,R2C2] / [R1C6,R2C2]"
"8 7 4",3,N,Winning,N,19,19,2,"[R0C7] / [R1C6]"
"8 7 5",5,N,Winning,N,19,20,2,"[R0C7,R2C4] / [R1C6,R2C4]"
"8 7 6",1,N,Winning,N,21,21,2,"[R0C7] / [R1C6]"
"8 7 7",2,N,Winning,N,21,22,1,"[R0C7,R2C6]"
"8 8 1",1,N,Winning,N,17,17,1,"[R2C0]"
"8 8 2",0,P,Losing,P,18,18,0,"N/A (P-position)"
"8 8 3",3,N,Winning,N,19,19,1,"[R2C2]"
"8 8 4",0,P,Losing,P,20,20,0,"N/A (P-position)"
"8 8 5",1,N,Winning,N,21,21,1,"[R2C4]"
"8 8 6",0,P,Losing,P,22,22,0,"N/A (P-position)"
"8 8 7",3,N,Winning,N,23,23,1,"[R2C6]"
"8 8 8",0,P,Losing,P,24,24,0,"N/A (P-position)"
"9 1 1",0,P,Losing,P,10,11,0,"N/A (P-position)"
"9 2 1",4,N,Winning,N,11,12,2,"[R1C1] / [R0C8,R2C0]"
"9 2 2",1,N,Winning,N,13,13,1,"[R0C8]"
"9 3 1",6,N,Winning,N,11,13,1,"[R0C8,R1C2,R2C0]"
"9 3 2",2,N,Winning,N,13,14,1,"[R0C8,R1C2]"
"9 3 3",0,P,Losing,P,14,15,0,"N/A (P-position)"
"9 4 1",4,N,Winning,N,13,14,1,"[R0C8,R2C0]"
"9 4 2",1,N,Winning,N,15,15,1,"[R0C8]"
"9 4 3",4,N,Winning,N,15,16,2,"[R1C3] / [R0C8,R2C2]"
"9 4 4",1,N,Winning,N,17,17,1,"[R0C8]"
"9 5 1",6,N,Winning,N,13,15,1,"[R0C8,R1C4,R2C0]"
"9 5 2",2,N,Winning,N,15,16,1,"[R0C8,R1C4]"
"9 5 3",7,N,Winning,N,15,17,1,"[R0C8,R1C4,R2C2]"
"9 5 4",3,N,Winning,N,17,18,1,"[R0C8,R1C4]"
"9 5 5",0,P,Losing,P,18,19,0,"N/A (P-position)"
"9 6 1",4,N,Winning,N,15,16,1,"[R0C8,R2C0]"
"9 6 2",1,N,Winning,N,17,17,1,"[R0C8]"
"9 6 3",4,N,Winning,N,17,18,1,"[R0C8,R2C2]"
"9 6 4",5,N,Winning,N,19,19,1,"[R0C8]"
"9 6 5",4,N,Winning,N,19,20,2,"[R1C5] / [R0C8,R2C4]"
"9 6 6",1,N,Winning,N,21,21,1,"[R0C8]"
"9 7 1",6,N,Winning,N,15,17,1,"[R0C8,R1C6,R2C0]"
"9 7 2",2,N,Winning,N,17,18,1,"[R0C8,R1C6]"
"9 7 3",3,N,Winning,N,17,19,1,"[R0C8,R1C6,R2C2]"
"9 7 4",6,N,Winning,N,19,20,1,"[R0C8,R1C6]"
"9 7 5",1,N,Winning,N,19,21,1,"[R0C8,R1C6,R2C4]"
"9 7 6",2,N,Winning,N,21,22,1,"[R0C8,R1C6]"
"9 7 7",0,P,Losing,P,22,23,0,"N/A (P-position)"
"9 8 1",4,N,Winning,N,17,18,1,"[R0C8,R2C0]"
"9 8 2",5,N,Winning,N,19,19,1,"[R0C8]"
"9 8 3",4,N,Winning,N,19,20,1,"[R0C8,R2C2]"
"9 8 4",1,N,Winning,N,21,21,1,"[R0C8]"
"9 8 5",2,N,Winning,N,21,22,1,"[R0C8,R2C4]"
"9 8 6",3,N,Winning,N,23,23,1,"[R0C8]"
"9 8 7",4,N,Winning,N,23,24,2,"[R1C7] / [R0C8,R2C6]"
"9 8 8",1,N,Winning,N,25,25,1,"[R0C8]"
"9 9 1",2,N,Winning,N,19,19,1,"[R2C0]"
"9 9 2",0,P,Losing,P,20,20,0,"N/A (P-position)"
"9 9 3",1,N,Winning,N,21,21,1,"[R2C2]"
"9 9 4",0,P,Losing,P,22,22,0,"N/A (P-position)"
"9 9 5",3,N,Winning,N,23,23,1,"[R2C4]"
"9 9 6",0,P,Losing,P,24,24,0,"N/A (P-position)"
"9 9 7",1,N,Winning,N,25,25,1,"[R2C6]"
"9 9 8",0,P,Losing,P,26,26,0,"N/A (P-position)"
"9 9 9",1,N,Winning,N,27,27,1,"[R2C8]"
"10 1 1",1,N,Winning,N,11,12,1,"[R0C9]"
"10 2 1",5,N,Winning,N,11,13,2,"[R0C9,R1C1] / [R2C0]"
"10 2 2",0,P,Losing,P,14,14,0,"N/A (P-position)"
"10 3 1",7,N,Winning,N,13,14,1,"[R1C2,R2C0]"
"10 3 2",3,N,Winning,N,15,15,1,"[R1C2]"
"10 3 3",1,N,Winning,N,15,16,1,"[R0C9]"
"10 4 1",5,N,Winning,N,15,15,1,"[R2C0]"
"10 4 2",0,P,Losing,P,16,16,0,"N/A (P-position)"
"10 4 3",5,N,Winning,N,15,17,2,"[R0C9,R1C3] / [R2C2]"
"10 4 4",0,P,Losing,P,18,18,0,"N/A (P-position)"
"10 5 1",7,N,Winning,N,15,16,1,"[R1C4,R2C0]"
"10 5 2",3,N,Winning,N,17,17,1,"[R1C4]"
"10 5 3",6,N,Winning,N,17,18,1,"[R1C4,R2C2]"
"10 5 4",2,N,Winning,N,19,19,1,"[R1C4]"
"10 5 5",1,N,Winning,N,19,20,1,"[R0C9]"
"10 6 1",5,N,Winning,N,17,17,1,"[R2C0]"
"10 6 2",0,P,Losing,P,18,18,0,"N/A (P-position)"
"10 6 3",5,N,Winning,N,19,19,1,"[R2C2]"
"10 6 4",0,P,Losing,P,20,20,0,"N/A (P-position)"
"10 6 5",6,N,Winning,N,19,21,2,"[R0C9,R1C5] / [R2C4]"
"10 6 6",0,P,Losing,P,22,22,0,"N/A (P-position)"
"10 7 1",7,N,Winning,N,17,18,1,"[R1C6,R2C0]"
"10 7 2",3,N,Winning,N,19,19,1,"[R1C6]"
"10 7 3",6,N,Winning,N,19,20,1,"[R1C6,R2C2]"
"10 7 4",1,N,Winning,N,21,21,1,"[R1C6]"
"10 7 5",2,N,Winning,N,21,22,1,"[R1C6,R2C4]"
"10 7 6",3,N,Winning,N,23,23,1,"[R1C6]"
"10 7 7",1,N,Winning,N,23,24,1,"[R0C9]"
"10 8 1",5,N,Winning,N,19,19,1,"[R2C0]"
"10 8 2",0,P,Losing,P,20,20,0,"N/A (P-position)"
"10 8 3",1,N,Winning,N,21,21,1,"[R2C2]"
"10 8 4",0,P,Losing,P,22,22,0,"N/A (P-position)"
"10 8 5",3,N,Winning,N,23,23,1,"[R2C4]"
"10 8 6",0,P,Losing,P,24,24,0,"N/A (P-position)"
"10 8 7",5,N,Winning,N,23,25,2,"[R0C9,R1C7] / [R2C6]"
"10 8 8",0,P,Losing,P,26,26,0,"N/A (P-position)"
"10 9 1",3,N,Winning,N,19,20,2,"[R0C9,R2C0] / [R1C8,R2C0]"
"10 9 2",1,N,Winning,N,21,21,2,"[R0C9] / [R1C8]"
"10 9 3",2,N,Winning,N,21,22,2,"[R0C9,R2C2] / [R1C8,R2C2]"
"10 9 4",3,N,Winning,N,23,23,2,"[R0C9] / [R1C8]"
"10 9 5",4,N,Winning,N,23,24,2,"[R0C9,R2C4] / [R1C8,R2C4]"
"10 9 6",1,N,Winning,N,25,25,2,"[R0C9] / [R1C8]"
"10 9 7",2,N,Winning,N,25,26,2,"[R0C9,R2C6] / [R1C8,R2C6]"
"10 9 8",3,N,Winning,N,27,27,2,"[R0C9] / [R1C8]"
"10 9 9",2,N,Winning,N,27,28,1,"[R0C9,R2C8]"
"10 10 1",1,N,Winning,N,21,21,1,"[R2C0]"
"10 10 2",0,P,Losing,P,22,22,0,"N/A (P-position)"
"10 10 3",3,N,Winning,N,23,23,1,"[R2C2]"
"10 10 4",0,P,Losing,P,24,24,0,"N/A (P-position)"
"10 10 5",1,N,Winning,N,25,25,1,"[R2C4]"
"10 10 6",0,P,Losing,P,26,26,0,"N/A (P-position)"
"10 10 7",3,N,Winning,N,27,27,1,"[R2C6]"
"10 10 8",0,P,Losing,P,28,28,0,"N/A (P-position)"
"10 10 9",1,N,Winning,N,29,29,1,"[R2C8]"
"10 10 10",0,P,Losing,P,30,30,0,"N/A (P-position)"
"11 1 1",0,P,Losing,P,12,13,0,"N/A (P-position)"
"11 2 1",4,N,Winning,N,13,14,2,"[R1C1] / [R0C10,R2C0]"
"11 2 2",1,N,Winning,N,15,15,1,"[R0C10]"
"11 3 1",6,N,Winning,N,13,15,1,"[R0C10,R1C2,R2C0]"
"11 3 2",2,N,Winning,N,15,16,1,"[R0C10,R1C2]"
"11 3 3",0,P,Losing,P,16,17,0,"N/A (P-position)"
"11 4 1",4,N,Winning,N,15,16,1,"[R0C10,R2C0]"
"11 4 2",1,N,Winning,N,17,17,1,"[R0C10]"
"11 4 3",4,N,Winning,N,17,18,2,"[R1C3] / [R0C10,R2C2]"
"11 4 4",1,N,Winning,N,19,19,1,"[R0C10]"
"11 5 1",6,N,Winning,N,15,17,1,"[R0C10,R1C4,R2C0]"
"11 5 2",2,N,Winning,N,17,18,1,"[R0C10,R1C4]"
"11 5 3",7,N,Winning,N,17,19,1,"[R0C10,R1C4,R2C2]"
"11 5 4",3,N,Winning,N,19,20,1,"[R0C10,R1C4]"
"11 5 5",0,P,Losing,P,20,21,0,"N/A (P-position)"
"11 6 1",4,N,Winning,N,17,18,1,"[R0C10,R2C0]"
"11 6 2",1,N,Winning,N,19,19,1,"[R0C10]"
"11 6 3",4,N,Winning,N,19,20,1,"[R0C10,R2C2]"
"11 6 4",1,N,Winning,N,21,21,1,"[R0C10]"
"11 6 5",4,N,Winning,N,21,22,2,"[R1C5] / [R0C10,R2C4]"
"11 6 6",1,N,Winning,N,23,23,1,"[R0C10]"
"11 7 1",6,N,Winning,N,17,19,1,"[R0C10,R1C6,R2C0]"
"11 7 2",2,N,Winning,N,19,20,1,"[R0C10,R1C6]"
"11 7 3",7,N,Winning,N,19,21,1,"[R0C10,R1C6,R2C2]"
"11 7 4",2,N,Winning,N,21,22,1,"[R0C10,R1C6]"
"11 7 5",3,N,Winning,N,21,23,1,"[R0C10,R1C6,R2C4]"
"11 7 6",5,N,Winning,N,23,24,1,"[R0C10,R1C6]"
"11 7 7",0,P,Losing,P,24,25,0,"N/A (P-position)"
"11 8 1",4,N,Winning,N,19,20,1,"[R0C10,R2C0]"
"11 8 2",1,N,Winning,N,21,21,1,"[R0C10]"
"11 8 3",4,N,Winning,N,21,22,1,"[R0C10,R2C2]"
"11 8 4",3,N,Winning,N,23,23,1,"[R0C10]"
"11 8 5",4,N,Winning,N,23,24,1,"[R0C10,R2C4]"
"11 8 6",1,N,Winning,N,25,25,1,"[R0C10]"
"11 8 7",2,N,Winning,N,25,26,2,"[R1C7] / [R0C10,R2C6]"
"11 8 8",1,N,Winning,N,27,27,1,"[R0C10]"
"11 9 1",6,N,Winning,N,19,21,1,"[R0C10,R1C8,R2C0]"
"11 9 2",2,N,Winning,N,21,22,1,"[R0C10,R1C8]"
"11 9 3",3,N,Winning,N,21,23,1,"[R0C10,R1C8,R2C2]"
"11 9 4",5,N,Winning,N,23,24,1,"[R0C10,R1C8]"
"11 9 5",1,N,Winning,N,23,25,1,"[R0C10,R1C8,R2C4]"
"11 9 6",2,N,Winning,N,25,26,1,"[R0C10,R1C8]"
"11 9 7",3,N,Winning,N,25,27,1,"[R0C10,R1C8,R2C6]"
"11 9 8",4,N,Winning,N,27,28,1,"[R0C10,R1C8]"
"11 9 9",0,P,Losing,P,28,29,0,"N/A (P-position)"
"11 10 1",4,N,Winning,N,21,22,1,"[R0C10,R2C0]"
"11 10 2",5,N,Winning,N,23,23,1,"[R0C10]"
"11 10 3",4,N,Winning,N,23,24,1,"[R0C10,R2C2]"
"11 10 4",1,N,Winning,N,25,25,1,"[R0C10]"
"11 10 5",2,N,Winning,N,25,26,1,"[R0C10,R2C4]"
"11 10 6",3,N,Winning,N,27,27,1,"[R0C10]"
"11 10 7",4,N,Winning,N,27,28,1,"[R0C10,R2C6]"
"11 10 8",1,N,Winning,N,29,29,1,"[R0C10]"
"11 10 9",5,N,Winning,N,29,30,2,"[R1C9] / [R0C10,R2C8]"
"11 10 10",2,N,Winning,N,31,31,1,"[R0C10]"
"11 11 1",2,N,Winning,N,23,23,1,"[R2C0]"
"11 11 2",0,P,Losing,P,24,24,0,"N/A (P-position)"
"11 11 3",1,N,Winning,N,25,25,1,"[R2C2]"
"11 11 4",0,P,Losing,P,26,26,0,"N/A (P-position)"
"11 11 5",3,N,Winning,N,27,27,1,"[R2C4]"
"11 11 6",0,P,Losing,P,28,28,0,"N/A (P-position)"
"11 11 7",1,N,Winning,N,29,29,1,"[R2C6]"
"11 11 8",0,P,Losing,P,30,30,0,"N/A (P-position)"
"11 11 9",2,N,Winning,N,31,31,1,"[R2C8]"
"11 11 10",0,P,Losing,P,32,32,0,"N/A (P-position)"
"11 11 11",1,N,Winning,N,33,33,1,"[R2C10]"
"12 1 1",1,N,Winning,N,13,14,1,"[R0C11]"
"12 2 1",5,N,Winning,N,13,15,2,"[R0C11,R1C1] / [R2C0]"
"12 2 2",0,P,Losing,P,16,16,0,"N/A (P-position)"
"12 3 1",7,N,Winning,N,15,16,1,"[R1C2,R2C0]"
"12 3 2",3,N,Winning,N,17,17,1,"[R1C2]"
"12 3 3",1,N,Winning,N,17,18,1,"[R0C11]"
"12 4 1",5,N,Winning,N,17,17,1,"[R2C0]"
"12 4 2",0,P,Losing,P,18,18,0,"N/A (P-position)"
"12 4 3",5,N,Winning,N,17,19,2,"[R0C11,R1C3] / [R2C2]"
"12 4 4",0,P,Losing,P,20,20,0,"N/A (P-position)"
"12 5 1",7,N,Winning,N,17,18,1,"[R1C4,R2C0]"
"12 5 2",3,N,Winning,N,19,19,1,"[R1C4]"
"12 5 3",6,N,Winning,N,19,20,1,"[R1C4,R2C2]"
"12 5 4",2,N,Winning,N,21,21,1,"[R1C4]"
"12 5 5",1,N,Winning,N,21,22,1,"[R0C11]"
"12 6 1",5,N,Winning,N,19,19,1,"[R2C0]"
"12 6 2",0,P,Losing,P,20,20,0,"N/A (P-position)"
"12 6 3",5,N,Winning,N,21,21,1,"[R2C2]"
"12 6 4",0,P,Losing,P,22,22,0,"N/A (P-position)"
"12 6 5",5,N,Winning,N,21,23,2,"[R0C11,R1C5] / [R2C4]"
"12 6 6",0,P,Losing,P,24,24,0,"N/A (P-position)"
"12 7 1",7,N,Winning,N,19,20,1,"[R1C6,R2C0]"
"12 7 2",3,N,Winning,N,21,21,1,"[R1C6]"
"12 7 3",6,N,Winning,N,21,22,1,"[R1C6,R2C2]"
"12 7 4",3,N,Winning,N,23,23,1,"[R1C6]"
"12 7 5",6,N,Winning,N,23,24,1,"[R1C6,R2C4]"
"12 7 6",2,N,Winning,N,25,25,1,"[R1C6]"
"12 7 7",1,N,Winning,N,25,26,1,"[R0C11]"
