Partition,n,Number of Rows,Total Cells,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"1",1,1,1,1,N,Losing,P,1,1,1,"[R0C0]"
"2 1",2,2,3,2,N,Winning,N,3,3,2,"[R0C1] / [R1C0]"
"3 2 1",3,3,6,4,N,Winning,N,5,6,2,"[R1C1] / [R0C2,R2C0]"
"4 3 2 1",4,4,10,6,N,Winning,N,9,10,3,"[R0C3,R2C1] / [R0C3,R3C0] / [R1C2,R3C0]"
"5 4 3 2 1",5,5,15,10,N,Winning,N,13,15,4,"[R0C4,R3C1] / [R1C3,R3C1] / [R1C3,R4C0] / [R0C4,R2C2,R4C0]"
"6 5 4 3 2 1",6,6,21,16,N,Winning,N,19,21,5,"[R1C4,R4C1] / [R0C5,R2C3,R4C1] / [R0C5,R2C3,R5C0] / [R0C5,R3C2,R5C0] / [R1C4,R3C2,R5C0]"
"7 6 5 4 3 2 1",7,7,28,22,N,Winning,N,25,28,7,"[R0C6,R2C4,R5C1] / [R0C6,R3C3,R5C1] / [R1C5,R3C3,R5C1] / [R0C6,R3C3,R6C0] / [R1C5,R3C3,R6C0] / [R1C5,R4C2,R6C0] / [R0C6,R2C4,R4C2,R6C0]"
"8 7 6 5 4 3 2 1",8,8,36,30,N,Winning,N,33,36,9,"[R0C7,R3C4,R6C1] / [R1C6,R3C4,R6C1] / [R1C6,R4C3,R6C1] / [R0C7,R2C5,R4C3,R6C1] / [R1C6,R4C3,R7C0] / [R0C7,R2C5,R4C3,R7C0] / [R0C7,R2C5,R5C2,R7C0] / [R0C7,R3C4,R5C2,R7C0] / [R1C6,R3C4,R5C2,R7C0]"
"9 8 7 6 5 4 3 2 1",9,9,45,40,N,Winning,N,41,45,12,"[R1C7,R4C4,R7C1] / [R0C8,R2C6,R4C4,R7C1] / [R0C8,R2C6,R5C3,R7C1] / [R0C8,R3C5,R5C3,R7C1] / [R1C7,R3C5,R5C3,R7C1] / [R0C8,R2C6,R5C3,R8C0] / [R0C8,R3C5,R5C3,R8C0] / [R1C7,R3C5,R5C3,R8C0] / [R0C8,R3C5,R6C2,R8C0] / [R1C7,R3C5,R6C2,R8C0] / [R1C7,R4C4,R6C2,R8C0] / [R0C8,R2C6,R4C4,R6C2,R8C0]"
"10 9 8 7 6 5 4 3 2 1",10,10,55,49,N,Winning,N,51,55,16,"[R0C9,R2C7,R5C4,R8C1] / [R0C9,R3C6,R5C4,R8C1] / [R1C8,R3C6,R5C4,R8C1] / [R0C9,R3C6,R6C3,R8C1] / [R1C8,R3C6,R6C3,R8C1] / [R1C8,R4C5,R6C3,R8C1] / [R0C9,R2C7,R4C5,R6C3,R8C1] / [R0C9,R3C6,R6C3,R9C0] / [R1C8,R3C6,R6C3,R9C0] / [R1C8,R4C5,R6C3,R9C0] / [R0C9,R2C7,R4C5,R6C3,R9C0] / [R1C8,R4C5,R7C2,R9C0] / [R0C9,R2C7,R4C5,R7C2,R9C0] / [R0C9,R2C7,R5C4,R7C2,R9C0] / [R0C9,R3C6,R5C4,R7C2,R9C0] / [R1C8,R3C6,R5C4,R7C2,R9C0]"