Partition,Rows,Columns,Grundy (g),P/N-Position (Normal),Misere Value,P/N-Position (Misere),Uptimality,Game Depth,Winning Move Count,Winning Moves (Normal)
"1",1,1,1,N,Losing,P,1,1,1,"[R0C0]"
"2",1,2,0,P,Winning,N,2,2,0,"N/A (P-position)"
"3",1,3,1,N,Losing,P,3,3,1,"[R0C2]"
"4",1,4,0,P,Winning,N,4,4,0,"N/A (P-position)"
"5",1,5,1,N,Losing,P,5,5,1,"[R0C4]"
"6",1,6,0,P,Winning,N,6,6,0,"N/A (P-position)"
"7",1,7,1,N,Losing,P,7,7,1,"[R0C6]"
"8",1,8,0,P,Winning,N,8,8,0,"N/A (P-position)"
"9",1,9,1,N,Losing,P,9,9,1,"[R0C8]"
"10",1,10,0,P,Winning,N,10,10,0,"N/A (P-position)"
"1 1",2,1,0,P,Winning,N,2,2,0,"N/A (P-position)"
"2 2",2,2,0,P,Losing,P,4,4,0,"N/A (P-position)"
"3 3",2,3,0,P,Losing,P,6,6,0,"N/A (P-position)"
"4 4",2,4,0,P,Losing,P,8,8,0,"N/A (P-position)"
"5 5",2,5,0,P,Losing,P,10,10,0,"N/A (P-position)"
"6 6",2,6,0,P,Losing,P,12,12,0,"N/A (P-position)"
"7 7",2,7,0,P,Losing,P,14,14,0,"N/A (P-position)"
"8 8",2,8,0,P,Losing,P,16,16,0,"N/A (P-position)"
"9 9",2,9,0,P,Losing,P,18,18,0,"N/A (P-position)"
"10 10",2,10,0,P,Losing,P,20,20,0,"N/A (P-position)"
"1 1 1",3,1,1,N,Losing,P,3,3,1,"[R2C0]"
"2 2 2",3,2,0,P,Losing,P,6,6,0,"N/A (P-position)"
"3 3 3",3,3,1,N,Winning,N,9,9,1,"[R2C2]"
"4 4 4",3,4,0,P,Losing,P,12,12,0,"N/A (P-position)"
"5 5 5",3,5,1,N,Winning,N,15,15,1,"[R2C4]"
"6 6 6",3,6,0,P,Losing,P,18,18,0,"N/A (P-position)"
"7 7 7",3,7,1,N,Winning,N,21,21,1,"[R2C6]"
"8 8 8",3,8,0,P,Losing,P,24,24,0,"N/A (P-position)"
"9 9 9",3,9,1,N,Winning,N,27,27,1,"[R2C8]"
"10 10 10",3,10,0,P,Losing,P,30,30,0,"N/A (P-position)"
"1 1 1 1",4,1,0,P,Winning,N,4,4,0,"N/A (P-position)"
"2 2 2 2",4,2,0,P,Losing,P,8,8,0,"N/A (P-position)"
"3 3 3 3",4,3,0,P,Losing,P,12,12,0,"N/A (P-position)"
"4 4 4 4",4,4,0,P,Losing,P,16,16,0,"N/A (P-position)"
"5 5 5 5",4,5,0,P,Losing,P,20,20,0,"N/A (P-position)"
"6 6 6 6",4,6,0,P,Losing,P,24,24,0,"N/A (P-position)"
"7 7 7 7",4,7,0,P,Losing,P,28,28,0,"N/A (P-position)"
"8 8 8 8",4,8,0,P,Losing,P,32,32,0,"N/A (P-position)"
"9 9 9 9",4,9,0,P,Losing,P,36,36,0,"N/A (P-position)"
"10 10 10 10",4,10,0,P,Losing,P,40,40,0,"N/A (P-position)"
"1 1 1 1 1",5,1,1,N,Losing,P,5,5,1,"[R4C0]"
"2 2 2 2 2",5,2,0,P,Losing,P,10,10,0,"N/A (P-position)"
"3 3 3 3 3",5,3,1,N,Winning,N,15,15,1,"[R4C2]"
"4 4 4 4 4",5,4,0,P,Losing,P,20,20,0,"N/A (P-position)"
"5 5 5 5 5",5,5,1,N,Winning,N,25,25,1,"[R4C4]"
"6 6 6 6 6",5,6,0,P,Losing,P,30,30,0,"N/A (P-position)"
"7 7 7 7 7",5,7,1,N,Winning,N,35,35,1,"[R4C6]"
"8 8 8 8 8",5,8,0,P,Losing,P,40,40,0,"N/A (P-position)"
"9 9 9 9 9",5,9,1,N,Winning,N,45,45,1,"[R4C8]"
"10 10 10 10 10",5,10,0,P,Losing,P,50,50,0,"N/A (P-position)"
"1 1 1 1 1 1",6,1,0,P,Winning,N,6,6,0,"N/A (P-position)"
"2 2 2 2 2 2",6,2,0,P,Losing,P,12,12,0,"N/A (P-position)"
"3 3 3 3 3 3",6,3,0,P,Losing,P,18,18,0,"N/A (P-position)"
"4 4 4 4 4 4",6,4,0,P,Losing,P,24,24,0,"N/A (P-position)"
"5 5 5 5 5 5",6,5,0,P,Losing,P,30,30,0,"N/A (P-position)"
"6 6 6 6 6 6",6,6,0,P,Losing,P,36,36,0,"N/A (P-position)"
"7 7 7 7 7 7",6,7,0,P,Losing,P,42,42,0,"N/A (P-position)"
"8 8 8 8 8 8",6,8,0,P,Losing,P,48,48,0,"N/A (P-position)"
"9 9 9 9 9 9",6,9,0,P,Losing,P,54,54,0,"N/A (P-position)"
"10 10 10 10 10 10",6,10,0,P,Losing,P,60,60,0,"N/A (P-position)"
"1 1 1 1 1 1 1",7,1,1,N,Losing,P,7,7,1,"[R6C0]"
"2 2 2 2 2 2 2",7,2,0,P,Losing,P,14,14,0,"N/A (P-position)"
"3 3 3 3 3 3 3",7,3,1,N,Winning,N,21,21,1,"[R6C2]"
"4 4 4 4 4 4 4",7,4,0,P,Losing,P,28,28,0,"N/A (P-position)"
"5 5 5 5 5 5 5",7,5,1,N,Winning,N,35,35,1,"[R6C4]"
"6 6 6 6 6 6 6",7,6,0,P,Losing,P,42,42,0,"N/A (P-position)"
"7 7 7 7 7 7 7",7,7,1,N,Winning,N,49,49,1,"[R6C6]"
"8 8 8 8 8 8 8",7,8,0,P,Losing,P,56,56,0,"N/A (P-position)"
"9 9 9 9 9 9 9",7,9,1,N,Winning,N,63,63,1,"[R6C8]"
"10 10 10 10 10 10 10",7,10,0,P,Losing,P,70,70,0,"N/A (P-position)"
"1 1 1 1 1 1 1 1",8,1,0,P,Winning,N,8,8,0,"N/A (P-position)"
"2 2 2 2 2 2 2 2",8,2,0,P,Losing,P,16,16,0,"N/A (P-position)"
"3 3 3 3 3 3 3 3",8,3,0,P,Losing,P,24,24,0,"N/A (P-position)"
"4 4 4 4 4 4 4 4",8,4,0,P,Losing,P,32,32,0,"N/A (P-position)"
"5 5 5 5 5 5 5 5",8,5,0,P,Losing,P,40,40,0,"N/A (P-position)"
"6 6 6 6 6 6 6 6",8,6,0,P,Losing,P,48,48,0,"N/A (P-position)"
"7 7 7 7 7 7 7 7",8,7,0,P,Losing,P,56,56,0,"N/A (P-position)"
"8 8 8 8 8 8 8 8",8,8,0,P,Losing,P,64,64,0,"N/A (P-position)"
"9 9 9 9 9 9 9 9",8,9,0,P,Losing,P,72,72,0,"N/A (P-position)"
"10 10 10 10 10 10 10 10",8,10,0,P,Losing,P,80,80,0,"N/A (P-position)"
"1 1 1 1 1 1 1 1 1",9,1,1,N,Losing,P,9,9,1,"[R8C0]"
"2 2 2 2 2 2 2 2 2",9,2,0,P,Losing,P,18,18,0,"N/A (P-position)"
"3 3 3 3 3 3 3 3 3",9,3,1,N,Winning,N,27,27,1,"[R8C2]"
"4 4 4 4 4 4 4 4 4",9,4,0,P,Losing,P,36,36,0,"N/A (P-position)"
"5 5 5 5 5 5 5 5 5",9,5,1,N,Winning,N,45,45,1,"[R8C4]"
"6 6 6 6 6 6 6 6 6",9,6,0,P,Losing,P,54,54,0,"N/A (P-position)"
"7 7 7 7 7 7 7 7 7",9,7,1,N,Winning,N,63,63,1,"[R8C6]"
"8 8 8 8 8 8 8 8 8",9,8,0,P,Losing,P,72,72,0,"N/A (P-position)"
"9 9 9 9 9 9 9 9 9",9,9,1,N,Winning,N,81,81,1,"[R8C8]"
"10 10 10 10 10 10 10 10 10",9,10,0,P,Losing,P,90,90,0,"N/A (P-position)"
"1 1 1 1 1 1 1 1 1 1",10,1,0,P,Winning,N,10,10,0,"N/A (P-position)"
"2 2 2 2 2 2 2 2 2 2",10,2,0,P,Losing,P,20,20,0,"N/A (P-position)"
"3 3 3 3 3 3 3 3 3 3",10,3,0,P,Losing,P,30,30,0,"N/A (P-position)"
"4 4 4 4 4 4 4 4 4 4",10,4,0,P,Losing,P,40,40,0,"N/A (P-position)"
"5 5 5 5 5 5 5 5 5 5",10,5,0,P,Losing,P,50,50,0,"N/A (P-position)"
"6 6 6 6 6 6 6 6 6 6",10,6,0,P,Losing,P,60,60,0,"N/A (P-position)"
"7 7 7 7 7 7 7 7 7 7",10,7,0,P,Losing,P,70,70,0,"N/A (P-position)"
"8 8 8 8 8 8 8 8 8 8",10,8,0,P,Losing,P,80,80,0,"N/A (P-position)"
"9 9 9 9 9 9 9 9 9 9",10,9,0,P,Losing,P,90,90,0,"N/A (P-position)"
"10 10 10 10 10 10 10 10 10 10",10,10,0,P,Losing,P,100,100,0,"N/A (P-position)"